zip_code,proposed_dwelling_units,school_count,school_age_pop,score
10128,500231.0,0,6388,1006850.0
10025,341646.0,0,11617,694909.0
11211,251150.0,0,11991,514291.0
10021,124909.0,0,5255,255073.0
10023,92676.0,0,8179,193531.0
10019,75065.0,0,2269,152399.0
10022,58206.0,0,3235,119647.0
10003,50483.0,0,3427,104393.0
11201,46239.0,0,11021,103499.0
10036,49423.0,0,1818,100664.0
10016,46490.0,0,4469,97449.0
10024,40333.0,0,9990,90656.0
10002,40358.0,0,8386,89102.0
10011,34562.0,0,3773,72897.0
10065,34174.0,0,4501,72849.0
10001,34732.0,0,2470,71934.0
11101,31815.0,0,4564,68194.0
10462,25807.0,0,15597,67211.0
10475,28044.0,0,7161,63249.0
10013,27087.0,0,3733,57907.0
